HW Results:

index (pixel, Gx, Gy, sqrt, atan, pixel_Integrale)
[ 4][23] (187,  18,  -5,  18, -11, 51)
[ 4][24] (132,   0,   0,   0,   0, 50)

[ 5][ 0] (251,   0,   0,   0,   0, 76)
[ 5][ 1] (175, -14,  -3,  14,-120, 55)
[ 5][ 2] (183,  14, -10,  17, -25, 66)
[ 5][ 3] (176, -74, -39,  83,-109, 62)
[ 5][ 4] ( 16, -23, -13,  26,-107, 11)
[ 5][ 5] ( 93,  27,  25,  36,  29, 28)
[ 5][ 6] (  1,  35,   6,  35,   6,  7)
[ 5][ 7] (205,  14, -26,  29, -43, 57)
[ 5][ 8] (108, -37,  -2,  37,-126, 41)
[ 5][ 9] ( 42,   2,  24,  24,  60, 16)
[ 5][10] (127,  35,  -2,  35,  -2, 35)
[ 5][11] (200, -16,  -8,  17,-110, 60)
[ 5][12] ( 32, -47,   9,  47, 120, 20)
[ 5][13] ( 30,  -4, -25,  25, -71, 16)
[ 5][14] ( 18,  61, -58,  84, -30, 13)
[ 5][15] (229,  65,  -7,  65,  -4, 60)
[ 5][16] (251, -19,  36,  40,  83, 70)
[ 5][17] ( 98, -59,  36,  69, 105, 50)
[ 5][18] ( 63, -18,  59,  61,  76, 14)
[ 5][19] (131,   6,  59,  59,  59, 35)
[ 5][20] ( 96,  34,  29,  44,  28, 35)
[ 5][21] (203,  11,   4,  11,  14, 70)
[ 5][22] (128, -58, -28,  64,-110, 44)
[ 5][23] ( 66,  37, -35,  50, -30, 28)
[ 5][24] (229,   0,   0,   0,   0, 64)

[ 6][ 0] (101,   0,   0,   0,   0, 44)
[ 6][ 1] ( 67,  -5, -43,  43, -69, 22)
[ 6][ 2] (179,   9, -31,  32, -52, 53)
[ 6][ 3] ( 32, -40,  26,  47, 104, 20)
[ 6][ 4] ( 31,  12,  69,  70,  56,  0)
[ 6][ 5] (147,  20,  59,  62,  50, 41)
[ 6][ 6] (183,  -6,  29,  29,  72, 50)
[ 6][ 7] ( 77,   0,   6,   6,  64, 44)
[ 6][ 8] (105,  -2,   4,   4,  82, 33)
[ 6][ 9] (217, -19,  -7,  20,-114, 56)
[ 6][10] ( 73,  -5, -42,  42, -69, 37)
[ 6][11] (119,  34, -28,  44, -27, 45)
[ 6][12] (167, -18,  34,  38,  83, 43)
[ 6][13] (111, -52,  47,  70,  98, 37)
[ 6][14] ( 24,  58,  29,  64,  18, 14)
[ 6][15] (170,  81, -10,  81,  -5, 57)
[ 6][16] (248, -21, -39,  44, -85, 78)
[ 6][17] (204, -14,   4,  14, 116, 65)
[ 6][18] (227,   3,  46,  46,  61, 64)
[ 6][19] (171, -30,  30,  42,  96, 64)
[ 6][20] (150,  16,   5,  16,  12, 53)
[ 6][21] (188,  -9,  -8,  12, -98, 69)
[ 6][22] (114, -87, -26,  90,-116, 39)
[ 6][23] ( 16,  63, -22,  66, -13,  9)
[ 6][24] (214,   0,   0,   0,   0, 64)

[ 7][ 0] (182,   0,   0,   0,   0, 56)
[ 7][ 1] (102, -19, -26,  32, -90, 34)
[ 7][ 2] ( 59,  34, -27,  43, -28, 31)
[ 7][ 3] (250,  27,   8,  28,  11, 62)
[ 7][ 4] (202,  19,  41,  45,  46, 61)
[ 7][ 5] (199,  -9,  28,  29,  76, 75)
[ 7][ 6] ( 78, -43,  -8,  43,-121, 40)
[ 7][ 7] (183,  11, -11,  15, -31, 54)
[ 7][ 8] (128,   7,  11,  13,  40, 42)
[ 7][ 9] ( 56, -50,  -1,  50,-128, 30)
[ 7][10] ( 24, -16,  -7,  17,-112,  8)
[ 7][11] ( 56,  81,  16,  82,   8, 18)
[ 7][12] (206,  -9,  12,  15,  90, 55)
[ 7][13] ( 98, -63,  -3,  63,-127, 36)
[ 7][14] ( 90,  53,  -1,  53,   0, 25)
[ 7][15] (250,  19, -29,  34, -39, 79)
[ 7][16] ( 60,  -2, -44,  44, -66, 40)
[ 7][17] (151,  30, -25,  39, -28, 44)
[ 7][18] (183,   2, -24,  24, -60, 56)
[ 7][19] (209, -25,  -3,  25,-124, 66)
[ 7][20] ( 64,   4,  14,  14,  52, 29)
[ 7][21] (234, -37, -12,  38,-116, 69)
[ 7][22] ( 34, -86, -22,  88,-118, 18)
[ 7][23] ( 22,  87,   0,  87,   0,  2)
[ 7][24] (238,   0,   0,   0,   0, 73)

[ 8][ 0] (  1,   0,   0,   0,   0, 14)
[ 8][ 1] ( 96, -17,  -2,  17,-124, 22)
[ 8][ 2] ( 19,  42,   9,  42,   8,  9)
[ 8][ 3] (111,  35, -11,  36, -12, 37)
[ 8][ 4] (102,   9, -46,  46, -56, 34)
[ 8][ 5] (255, -10, -45,  46, -73, 75)
[ 8][ 6] (127, -68, -34,  76,-110, 41)
[ 8][ 7] ( 17,  43, -23,  48, -20, 18)
[ 8][ 8] (194,  31,  12,  33,  15, 50)
[ 8][ 9] (188, -75,  22,  78, 116, 56)
[ 8][10] ( 40,  -1,  17,  17,  66, 18)
[ 8][11] (165,  84,  12,  84,   5, 48)
[ 8][12] (236, -19,   9,  21, 109, 80)
[ 8][13] ( 23, -66,  11,  66, 121, 21)
[ 8][14] (110,  19, -28,  33, -39, 30)
[ 8][15] ( 85,   5, -47,  47, -59, 42)
[ 8][16] (100,  29, -15,  32, -19, 25)
[ 8][17] (235,  12, -21,  24, -42, 66)
[ 8][18] (119, -22, -64,  67, -78, 49)
[ 8][19] (171,  10, -72,  72, -58, 57)
[ 8][20] (234,   5, -52,  52, -60, 63)
[ 8][21] (137, -44, -30,  53,-104, 60)
[ 8][22] ( 36, -39,  19,  43, 109, 11)
[ 8][23] ( 50,  91,  49, 103,  20, 11)
[ 8][24] (225,   0,   0,   0,   0, 76)

[ 9][ 0] (151,   0,   0,   0,   0, 41)
[ 9][ 1] ( 89, -14,  30,  33,  82, 34)
[ 9][ 2] (102,  33,  13,  35,  15, 30)
[ 9][ 3] (252,  18,   8,  19,  17, 77)
[ 9][ 4] ( 73,   1,  19,  19,  61, 36)
[ 9][ 5] ( 91, -15,   5,  15, 114, 42)
[ 9][ 6] ( 68, -57,   0,  57, 127, 19)
[ 9][ 7] ( 44,  59,  17,  61,  11, 10)
[ 9][ 8] (233,  28,  -5,  28,  -7, 68)
[ 9][ 9] ( 82, -59,  -2,  59,-127, 39)
[ 9][10] ( 48,  25,  45,  51,  43, 12)
[ 9][11] (120,  48,  40,  62,  28, 40)
[ 9][12] (153, -21,   5,  21, 118, 56)
[ 9][13] (214, -52,  14,  53, 117, 52)
[ 9][14] (  0,  -4,  43,  43,  67, 15)
[ 9][15] ( 93,  18,  51,  54,  50, 30)
[ 9][16] ( 93,   9,  12,  15,  37, 26)
[ 9][17] (128, -32, -46,  56, -90, 48)
[ 9][18] ( 31, -14, -39,  41, -79, 15)
[ 9][19] ( 27,  16, -17,  23, -33, 12)
[ 9][20] (  7,   5, -32,  32, -57,  6)
[ 9][21] (116, -20, -30,  36, -89, 29)
[ 9][22] ( 87,   6, -11,  12, -43, 16)
[ 9][23] (193,  66, -19,  68, -11, 52)
[ 9][24] (236,   0,   0,   0,   0, 88)

[10][ 0] (132,   0,   0,   0,   0, 43)
[10][ 1] (110,   0,  17,  17,  64, 36)
[10][ 2] (103,   7,  21,  22,  50, 33)
[10][ 3] ( 39,  20,   3,  20,   6, 29)
[10][ 4] (226,  18,  10,  20,  20, 53)
[10][ 5] (231, -45,  10,  46, 119, 72)
[10][ 6] ( 94, -42,  -1,  42,-128, 35)
[10][ 7] (112,  47, -15,  49, -12, 34)
[10][ 8] (173,  25,  -9,  26, -14, 66)
[10][ 9] ( 96,  -4,  40,  40,  68, 33)
[10][10] (229,  44,  67,  80,  39, 58)
[10][11] (246,  12,  55,  56,  55, 83)
[10][12] (211, -42,  34,  54, 100, 77)
[10][13] ( 33, -39,  17,  42, 111, 26)
[10][14] (230,  16,  23,  28,  38, 54)
[10][15] (182,  27,  44,  51,  41, 62)
[10][16] (199, -27,  57,  63,  82, 64)
[10][17] ( 37, -50,  61,  78,  91, 30)
[10][18] ( 51,   4,  54,  54,  60, 12)
[10][19] (198,  -4,  29,  29,  69, 51)
[10][20] (117,   9,  28,  29,  51, 40)
[10][21] ( 94,   4,  55,  55,  61, 39)
[10][22] (  1,   3,  56,  56,  61,  6)
[10][23] ( 81,   1,  -4,   4, -53, 30)
[10][24] ( 49,   0,   0,   0,   0, 28)

[11][ 0] (135,   0,   0,   0,   0, 44)
[11][ 1] ( 92,  15, -27,  30, -43, 32)
[11][ 2] (248,   2, -23,  23, -60, 69)
[11][ 3] (132,  12, -16,  20, -37, 49)
[11][ 4] (192,  19, -29,  34, -39, 66)
[11][ 5] ( 54, -41, -24,  47,-106, 34)
[11][ 6] (104, -44, -12,  45,-118, 25)
[11][ 7] (  5,  18, -28,  33, -40,  7)
[11][ 8] (157,  71, -16,  72,  -9, 49)
[11][ 9] (204,  11,  -4,  11, -14, 55)
[11][10] (203,  15, -46,  48, -51, 70)
[11][11] (225,  21, -55,  58, -48, 80)
[11][12] (232, -23,  -6,  23,-118, 76)
[11][13] (225, -50,  18,  53, 113, 62)
[11][14] ( 42,  16,   1,  16,   2, 33)
[11][15] (182,  39,  -8,  39,  -8, 55)
[11][16] (229, -24,  -6,  24,-118, 71)
[11][17] (226, -41,   1,  41, 127, 65)
[11][18] (192, -35, -22,  41,-105, 59)
[11][19] ( 40, -23, -56,  60, -80, 34)
[11][20] ( 57,  53, -30,  60, -21, 20)
[11][21] (233,  58,  41,  71,  25, 63)
[11][22] (246, -11,  79,  79,  69, 69)
[11][23] (210, -64,  60,  87,  97, 75)
[11][24] ( 15,   0,   0,   0,   0, 22)

[12][ 0] (149,   0,   0,   0,   0, 48)
[12][ 1] (  8,  11, -23,  25, -45, 11)
[12][ 2] ( 75,   7, -27,  27, -53, 30)
[12][ 3] ( 20,  -3, -44,  44, -67,  7)
[12][ 4] (165,  40, -25,  47, -22, 47)
[12][ 5] (140, -10,  22,  24,  81, 38)
[12][ 6] (148, -63,  23,  67, 113, 44)
[12][ 7] (  6,  12,  14,  18,  34,  8)
[12][ 8] (113,  85,  10,  85,   4, 40)
[12][ 9] (197, -12, -10,  15,-100, 60)
[12][10] ( 55, -29, -34,  44, -93, 32)
[12][11] (126,  18, -72,  74, -53, 42)
[12][12] (185,  19, -81,  83, -54, 55)
[12][13] (159, -32, -45,  55, -90, 50)
[12][14] (148,  15, -11,  18, -25, 42)
[12][15] (229,  40,  -3,  40,  -3, 73)
[12][16] (123, -20,  -1,  20,-126, 53)
[12][17] ( 98, -34,   4,  34, 123, 36)
[12][18] ( 19, -67,   2,  67, 126, 12)
[12][19] ( 31, -26,   2,  26, 124,  4)
[12][20] ( 42,  82,   3,  82,   1,  8)
[12][21] (175,  81, -16,  82,  -8, 56)
[12][22] (247, -24, -44,  50, -85, 77)
[12][23] (147, -47, -20,  51,-112, 57)
[12][24] (155,   0,   0,   0,   0, 39)

[13][ 0] ( 55,   0,   0,   0,   0, 25)
[13][ 1] ( 75,  14,  24,  27,  41, 15)
[13][ 2] (178,  20,  44,  48,  46, 53)
[13][ 3] ( 73, -38,  37,  53,  96, 25)
[13][ 4] ( 34,  38, -19,  42, -18, 24)
[13][ 5] (234,  22, -36,  42, -41, 62)
[13][ 6] ( 83, -46,  11,  47, 118, 37)
[13][ 7] ( 53,  21,  46,  50,  46, 13)
[13][ 8] (196,  36,  10,  37,  11, 60)
[13][ 9] (158, -11, -19,  21, -86, 59)
[13][10] (177, -28,   7,  28, 117, 52)
[13][11] ( 51, -22,   5,  22, 118, 28)
[13][12] ( 37,  24, -21,  31, -29, 19)
[13][13] (142,  16,  -6,  17, -14, 39)
[13][14] ( 49,  19,  13,  23,  25, 20)
[13][15] (165,  22,  -8,  23, -14, 54)
[13][16] (235,  10,   1,  10,   4, 67)
[13][17] (230, -28,  32,  42,  93, 70)
[13][18] (211, -83,  23,  86, 116, 64)
[13][19] ( 20, -19,  15,  24, 100, 19)
[13][20] ( 95,  78,  16,  79,   8, 29)
[13][21] (202,  46,  -5,  46,  -4, 69)
[13][22] (147, -33, -21,  39,-105, 59)
[13][23] ( 94,  -1,  -8,   8, -70, 33)
[13][24] (190,   0,   0,   0,   0, 51)

[14][ 0] (192,   0,   0,   0,   0, 54)
[14][ 1] ( 52,  -7,  50,  50,  69, 24)
[14][ 2] (139,  37,  26,  45,  24, 50)
[14][ 3] (204, -66,  24,  70, 113, 56)
[14][ 4] ( 33, -24, -10,  26,-112, 22)
[14][ 5] ( 72,  28, -48,  55, -41, 33)
[14][ 6] (131,  23, -20,  30, -29, 34)
[14][ 7] (202,  22,  16,  27,  25, 53)
[14][ 8] (109, -35, -18,  39,-109, 52)
[14][ 9] ( 93,   2, -47,  47, -62, 36)
[14][10] (120,  23,  -9,  24, -15, 37)
[14][11] (160, -36,  30,  46,  99, 43)
[14][12] ( 95, -16,   3,  16, 120, 32)
[14][13] (137,  36, -33,  48, -29, 47)
[14][14] (241,  37, -14,  39, -14, 67)
[14][15] (174,  11,  14,  17,  36, 68)
[14][16] ( 76,  12,  -5,  13, -16, 39)
[14][17] (255, -44, -50,  66, -94, 74)
[14][18] (  8, -65, -40,  76,-106, 19)
[14][19] ( 84,   4,   9,   9,  46, 14)
[14][20] ( 69,  61,  14,  62,   9, 23)
[14][21] (201,  26,  -2,  26,  -3, 66)
[14][22] (132, -35,  -9,  36,-118, 47)
[14][23] (187,  18,  -5,  18, -11, 52)
[14][24] (132,   0,   0,   0,   0, 50)

[15][ 0] (251,   0,   0,   0,   0, 76)
[15][ 1] (175, -14,  -3,  14,-120, 55)
[15][ 2] (183,  14, -10,  17, -25, 66)
[15][ 3] (176, -74, -39,  83,-109, 62)
[15][ 4] ( 16, -23, -13,  26,-107, 11)
[15][ 5] ( 93,  27,  25,  36,  29, 28)
[15][ 6] (  1,  35,   6,  35,   6,  7)
[15][ 7] (205,  14, -26,  29, -43, 57)
[15][ 8] (108, -37,  -2,  37,-126, 41)
[15][ 9] ( 42,   2,  24,  24,  60, 16)
[15][10] (127,  35,  -2,  35,  -2, 36)
[15][11] (200, -16,  -8,  17,-110, 60)
[15][12] ( 32, -47,   9,  47, 120, 20)
[15][13] ( 30,  -4, -25,  25, -71, 16)
[15][14] ( 18,  61, -58,  84, -30, 13)
[15][15] (229,  65,  -7,  65,  -4, 60)
[15][16] (251, -19,  36,  40,  83, 70)
[15][17] ( 98, -59,  36,  69, 105, 50)
[15][18] ( 63, -18,  59,  61,  76, 14)
[15][19] (131,   6,  59,  59,  59, 35)
[15][20] ( 96,  34,  29,  44,  28, 35)
[15][21] (203,  11,   4,  11,  14, 70)
[15][22] (128, -58, -28,  64,-110, 44)
[15][23] ( 66,  37, -35,  50, -30, 28)
[15][24] (229,   0,   0,   0,   0, 63)

[16][ 0] (101,   0,   0,   0,   0, 44)
[16][ 1] ( 67,  -5, -43,  43, -69, 22)
[16][ 2] (179,   9, -31,  32, -52, 53)
[16][ 3] ( 32, -40,  26,  47, 104, 20)
[16][ 4] ( 31,  12,  69,  70,  56,  0)
[16][ 5] (147,  20,  59,  62,  50, 41)
[16][ 6] (183,  -6,  29,  29,  72, 50)
[16][ 7] ( 77,   0,   6,   6,  64, 44)
[16][ 8] (105,  -2,   4,   4,  82, 33)
[16][ 9] (217, -19,  -7,  20,-114, 56)
[16][10] ( 73,  -5, -42,  42, -69, 37)
[16][11] (119,  34, -28,  44, -27, 45)
[16][12] (167, -18,  34,  38,  83, 43)
[16][13] (111, -52,  47,  70,  98, 37)
[16][14] ( 24,  58,  29,  64,  18, 14)
[16][15] (170,  81, -10,  81,  -5, 57)
[16][16] (248, -21, -39,  44, -85, 78)
[16][17] (204, -14,   4,  14, 116, 65)
[16][18] (227,   3,  46,  46,  61, 64)
[16][19] (171, -30,  30,  42,  96, 64)
[16][20] (150,  16,   5,  16,  12, 53)
[16][21] (188,  -9,  -8,  12, -98, 69)
[16][22] (114, -87, -26,  90,-116, 39)
[16][23] ( 16,  63, -22,  66, -13,  9)
[16][24] (214,   0,   0,   0,   0, 64)

[17][ 0] (182,   0,   0,   0,   0, 56)
[17][ 1] (102, -19, -26,  32, -90, 34)
[17][ 2] ( 59,  34, -27,  43, -28, 31)
[17][ 3] (250,  27,   8,  28,  11, 62)
[17][ 4] (202,  19,  41,  45,  46, 61)
[17][ 5] (199,  -9,  28,  29,  76, 75)
[17][ 6] ( 78, -43,  -8,  43,-121, 40)
[17][ 7] (183,  11, -11,  15, -31, 54)
[17][ 8] (128,   7,  11,  13,  40, 42)
[17][ 9] ( 56, -50,  -1,  50,-128, 30)
[17][10] ( 24, -16,  -7,  17,-112,  8)
[17][11] ( 56,  81,  16,  82,   8, 18)
[17][12] (206,  -9,  12,  15,  90, 55)
[17][13] ( 98, -63,  -3,  63,-127, 36)
[17][14] ( 90,  53,  -1,  53,   0, 25)
[17][15] (250,  19, -29,  34, -39, 79)
[17][16] ( 60,  -2, -44,  44, -66, 40)
[17][17] (151,  30, -25,  39, -28, 44)
[17][18] (183,   2, -24,  24, -60, 56)
[17][19] (209, -25,  -3,  25,-124, 66)
[17][20] ( 64,   4,  14,  14,  52, 29)
[17][21] (234, -37, -12,  38,-116, 69)
[17][22] ( 34, -86, -22,  88,-118, 18)
[17][23] ( 22,  87,   0,  87,   0,  2)
[17][24] (238,   0,   0,   0,   0, 73)

[18][ 0] (  1,   0,   0,   0,   0, 14)
[18][ 1] ( 96, -17,  -2,  17,-124, 22)
[18][ 2] ( 19,  42,   9,  42,   8,  9)
[18][ 3] (111,  35, -11,  36, -12, 37)
[18][ 4] (102,   9, -46,  46, -56, 34)
[18][ 5] (255, -10, -45,  46, -73, 75)
[18][ 6] (127, -68, -34,  76,-110, 41)
[18][ 7] ( 17,  43, -23,  48, -20, 18)
[18][ 8] (194,  31,  12,  33,  15, 50)
[18][ 9] (188, -75,  22,  78, 116, 56)
[18][10] ( 40,  -1,  17,  17,  66, 18)
[18][11] (165,  84,  12,  84,   5, 48)
[18][12] (236, -19,   9,  21, 109, 80)
[18][13] ( 23, -66,  11,  66, 121, 21)
[18][14] (110,  19, -28,  33, -39, 30)
[18][15] ( 85,   5, -47,  47, -59, 42)
[18][16] (100,  29, -15,  32, -19, 25)
[18][17] (235,  12, -21,  24, -42, 66)
[18][18] (119, -22, -64,  67, -78, 49)
[18][19] (171,  10, -72,  72, -58, 57)
[18][20] (234,   5, -52,  52, -60, 63)
[18][21] (137, -44, -30,  53,-104, 60)
[18][22] ( 36, -39,  19,  43, 109, 11)
[18][23] ( 50,  91,  49, 103,  20, 11)
[18][24] (225,   0,   0,   0,   0, 76)

[19][ 0] (151,   0,   0,   0,   0, 41)
[19][ 1] ( 89, -14,  30,  33,  82, 34)
[19][ 2] (102,  33,  13,  35,  15, 30)
[19][ 3] (252,  18,   8,  19,  17, 77)
[19][ 4] ( 73,   1,  19,  19,  61, 36)
[19][ 5] ( 91, -15,   5,  15, 114, 42)
[19][ 6] ( 68, -57,   0,  57, 127, 19)
[19][ 7] ( 44,  59,  17,  61,  11, 10)
[19][ 8] (233,  28,  -5,  28,  -7, 68)
[19][ 9] ( 82, -59,  -2,  59,-127, 39)
[19][10] ( 48,  25,  45,  51,  43, 12)
[19][11] (120,  48,  40,  62,  28, 40)
[19][12] (153, -21,   5,  21, 118, 56)
[19][13] (214, -52,  14,  53, 117, 52)
[19][14] (  0,  -4,  43,  43,  67, 15)
[19][15] ( 93,  18,  51,  54,  50, 30)
[19][16] ( 93,   9,  12,  15,  37, 26)
[19][17] (128, -32, -46,  56, -90, 48)
[19][18] ( 31, -14, -39,  41, -79, 15)
[19][19] ( 27,  16, -17,  23, -33, 12)
[19][20] (  7,   5, -32,  32, -57,  6)
[19][21] (116, -20, -30,  36, -89, 29)
[19][22] ( 87,   6, -11,  12, -43, 16)
[19][23] (193,  66, -19,  68, -11, 52)
[19][24] (236,   0,   0,   0,   0, 88)

[20][ 0] (132,   0,   0,   0,   0, 43)
[20][ 1] (110,   0,  17,  17,  64, 36)
[20][ 2] (103,   7,  21,  22,  50, 33)
[20][ 3] ( 39,  20,   3,  20,   6, 29)
[20][ 4] (226,  18,  10,  20,  20, 53)
[20][ 5] (231, -45,  10,  46, 119, 72)
[20][ 6] ( 94, -42,  -1,  42,-128, 35)
[20][ 7] (112,  47, -15,  49, -12, 34)
[20][ 8] (173,  25,  -9,  26, -14, 66)
[20][ 9] ( 96,  -4,  40,  40,  68, 33)
[20][10] (229,  44,  67,  80,  39, 58)
[20][11] (246,  12,  55,  56,  55, 83)
[20][12] (211, -42,  34,  54, 100, 77)
[20][13] ( 33, -39,  17,  42, 111, 26)
[20][14] (230,  16,  23,  28,  38, 54)
[20][15] (182,  27,  44,  51,  41, 62)
[20][16] (199, -27,  57,  63,  82, 64)
[20][17] ( 37, -50,  61,  78,  91, 30)
[20][18] ( 51,   4,  54,  54,  60, 12)
